source_location_code,destination_location_code,travel_distance_in_km,travel_time_in_min
12854113,12854113,0.0,0
12854113,12854149,27.06,29
12854113,12577977,15.71,24
12854113,10212334,82.55,145
12854113,12585577,93.28,147
12854113,10212204,14.81,25
12854113,12628669,50.26,55
12854113,13013290,22.76,24
12854113,12026582,12.56,14
12854113,12854197,39.79,43
12854113,10208582,28.88,35
12854113,11956776,41.95,45
12854113,10364446,18.12,24
12854113,10366955,38.52,66
12854113,12474916,33.48,35
12854113,10279711,40.91,76
12854113,10218045,4.62,6
12854113,12708761,13.48,25
12854113,12740556,13.98,25
12854113,11346601,9.01,13
12854113,12854173,20.1,21
12854113,12854172,33.74,51
12854113,10208607,20.19,22
12854113,12750741,35.7,63
12854113,10208589,35.61,44
12854113,12854198,31.33,36
12854113,12345850,36.82,48
12854113,10208702,31.83,33
12854113,10208717,42.29,65
12854113,10208605,56.56,69
12854113,12854117,17.45,18
12854113,13045617,24.29,35
12854113,12854192,12.43,16
12854113,12854098,23.96,34
12854113,12854108,21.04,21
12854113,12724371,32.43,58
12854113,10208768,21.15,24
12854113,13005196,14.44,14
12854113,12779571,13.13,21
12854113,12742843,20.98,41
12854113,10364896,9.99,17
12854113,10208681,40.41,41
12854113,10212202,47.56,83
12854113,12715142,76.31,147
12854113,12475665,46.34,67
12854113,10212373,139.23,139
12854113,12475666,112.9,123
12854113,12044475,4.66,6
12854113,12656560,16.2,25
12854113,10212258,23.35,37
12854113,12219936,40.57,41
12854113,12194109,36.07,56
12854113,10208675,8.64,14
12854113,12475523,6.84,7
12854113,10208670,27.45,38
12854113,10366979,23.44,25
12854113,12475628,23.41,27
12854113,12475623,19.72,19
12854113,10208698,30.56,53
12854113,10208575,30.37,41
12854113,12475360,36.93,49
12854113,10208659,26.3,47
12854113,10208596,30.51,50
12854113,10208595,33.82,52
12854113,10208686,38.2,53
12854113,10208776,14.7,16
12854113,12475516,14.55,29
12854113,12721000,16.1,27
12854113,10208593,22.65,23
12854113,10210421,14.19,14
12854113,12854133,27.3,34
12854113,12546176,14.64,17
12854113,12690815,12.77,19
12854113,12854140,91.77,107
12854113,10310757,63.98,81
12854113,11539696,12.6,14
12854113,10208639,33.81,33
12854113,10208731,35.25,48
12854113,12854166,34.79,49
12854113,10208764,33.08,40
12854113,10310590,31.73,43
12854113,12854147,23.34,43
12854113,12854121,35.05,41
12854113,12502170,33.31,64
12854113,12021664,32.98,50
12854113,12995436,30.31,53
12854113,10208661,33.46,33
12854113,10208602,26.61,53
12854113,12725145,25.92,32
12854113,12854195,33.62,38
12854113,10219625,16.84,30
12854113,12983715,35.2,70
12854113,12171479,33.99,50
12854113,10208746,9.56,10
12854113,12838671,83.87,117
12854113,10208762,59.97,94
12854113,12738762,52.99,57
12854113,10214844,44.6,83
12854113,12860572,25.07,34
12854113,12854164,25.67,25
12854113,10208747,18.92,34
12854113,11950159,15.46,18
12854113,11957296,38.78,68
12854113,10208712,18.52,19
12854113,10208117,18.81,25
12854113,10208119,30.52,48
12854113,10364922,24.51,25
12854113,10208696,26.36,27
12854113,10208629,29.92,56
12854113,10208707,34.58,45
12854113,10208701,20.38,21
12854113,10208760,23.92,42
12854113,10208641,30.73,31
12854113,10208694,4.3,4
12854113,10208499,123.64,132
12854113,13067405,48.45,51
12854113,13067657,42.51,49
12854113,12171444,11.38,20
12854113,12489344,31.9,54
12854113,10208651,16.63,20
12854113,13015040,31.8,44
12854113,12420540,17.04,32
12854113,12854153,31.92,44
12854113,10208614,37.23,41
12854113,10208730,41.02,57
12854113,10208719,29.56,42
12854113,11646201,22.73,34
12854113,12854139,33.92,46
12854113,12510558,43.15,63
12854113,12231175,35.52,44
12854113,12814117,29.88,36
12854113,12666962,44.64,47
12854113,10208705,34.49,39
12854113,10396151,49.43,68
12854113,12814084,43.89,48
12854113,10208687,66.04,104
12854113,10393503,5.59,6
12854113,12854148,42.61,51
12854113,10214832,142.71,190
12854113,10208647,6.68,7
12854113,10208734,7.3,11
12854113,12854184,7.25,7
12854113,12854138,14.19,15
12854113,10208697,14.96,17
12854113,10208703,20.52,36
12854113,12548942,20.96,23
12854113,13028069,27.28,30
12854113,12679735,30.15,46
12854113,12016186,20.57,22
12854113,12854126,24.07,35
12854113,12854154,23.37,41
12854113,10208759,24.34,37
12854113,11770353,29.13,54
12854113,12769185,31.54,57
12854113,12854137,39.72,64
12854113,12862432,28.18,36
12854113,10208120,29.6,29
12854113,10208772,16.04,30
12854113,10364885,15.22,24
12854113,10364928,15.29,19
12854113,10208751,26.89,42
12854113,10208645,28.87,36
12854113,10364904,28.98,29
12854113,10208129,26.29,27
12854113,12487426,21.16,30
12854113,12628674,38.03,47
12854113,12341445,45.2,63
12854113,13067128,39.63,40
12854113,12983542,16.51,23
12854113,10208654,24.21,36
12854113,12542118,33.03,43
12854113,10364926,45.16,67
12854113,10208752,39.86,41
12854113,10364920,37.32,37
12854113,10208656,36.06,67
